12	10	E	-6848865.330347113	200
probinit	1	1.0
probinit	2	0.0
probinit	3	0.0
probinit	4	0.0
probinit	5	0.0
probinit	6	0.0
probinit	7	0.0
probinit	8	0.0
probinit	9	0.0
probinit	10	0.0
probinit	11	3.779409434201037E-188
probinit	12	0.0
emissionprobs	3	1	H3k27ac	1	0.061084749409497825
emissionprobs	3	2	H3k27me3	0	0.14818245226354687
emissionprobs	3	2	H3k27me3	1	0.8518175477364531
emissionprobs	3	3	H3k36me3	0	0.6632547649984417
emissionprobs	3	3	H3k36me3	1	0.33674523500155823
emissionprobs	3	4	H3k4me1	0	0.709932558699233
emissionprobs	3	4	H3k4me1	1	0.29006744130076695
emissionprobs	3	5	H3k4me2	0	0.5212282137457295
emissionprobs	3	5	H3k4me2	1	0.4787717862542706
emissionprobs	3	6	H3k4me3	0	0.581873502698528
emissionprobs	3	6	H3k4me3	1	0.418126497301472
emissionprobs	3	7	H3k79me2	0	0.9734918443115874
emissionprobs	3	7	H3k79me2	1	0.026508155688412516
emissionprobs	3	8	H3k9ac	0	0.9244266383389453
emissionprobs	3	8	H3k9ac	1	0.07557336166105462
emissionprobs	3	9	H3k9me1	0	0.80076790889895
emissionprobs	3	9	H3k9me1	1	0.19923209110105
emissionprobs	4	0	H2az	0	0.27188115100864285
emissionprobs	4	0	H2az	1	0.728118848991357
emissionprobs	4	1	H3k27ac	0	0.9806617490611756
emissionprobs	4	1	H3k27ac	1	0.01933825093882434
emissionprobs	4	2	H3k27me3	0	0.987846115300707
emissionprobs	4	2	H3k27me3	1	0.01215388469929294
emissionprobs	4	3	H3k36me3	0	0.9995530605663898
emissionprobs	4	3	H3k36me3	1	4.4693943361018854E-4
emissionprobs	4	4	H3k4me1	0	0.8132353045895728
emissionprobs	4	4	H3k4me1	1	0.18676469541042712
emissionprobs	4	5	H3k4me2	0	0.6776586132417824
emissionprobs	4	5	H3k4me2	1	0.3223413867582175
emissionprobs	4	6	H3k4me3	0	0.765795394765702
emissionprobs	4	6	H3k4me3	1	0.23420460523429792
emissionprobs	4	7	H3k79me2	0	0.9882534075573662
emissionprobs	4	7	H3k79me2	1	0.011746592442633683
emissionprobs	4	8	H3k9ac	0	0.923374783489156
emissionprobs	4	8	H3k9ac	1	0.07662521651084404
emissionprobs	4	9	H3k9me1	0	0.9991964081539645
emissionprobs	4	9	H3k9me1	1	8.035918460353996E-4
emissionprobs	5	0	H2az	0	0.3377870692542046
emissionprobs	5	0	H2az	1	0.6622129307457955
emissionprobs	5	1	H3k27ac	0	0.33694269578400005
emissionprobs	5	1	H3k27ac	1	0.663057304216
emissionprobs	5	2	H3k27me3	0	0.9978563801690523
